Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",DR,PT,824,625,,491,,"1,116",,"28,031,002",,"22,151,691",,0,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,DO,"5,410","2,517",,"18,806",,"21,323",,"348,714,127",,"338,199,451",,"38,259,241",,"37,090,554",
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",CB,DO,443,377,,84,,461,,"16,061,803",,"9,484,995",,0,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",MB,DO,"3,217","7,687",,"2,408",,"10,095",,"95,106,296",,"82,638,609",,0,,0,
MTA New York City Transit,Brooklyn,NY,20008,"Unit of a Transit Agency, Reporting Separately",Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",RB,DO,125,289,,110,,399,,"3,193,603",,"3,008,832",,0,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",CR,DO,865,259,,196,,455,,"62,178,874",,"59,140,432",,"9,414,989",,"8,844,740",
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",VP,PT,50,9,,2,,11,,"916,381",,"916,381",,0,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,PT,42,249,,59,,308,,"2,150,540",,"2,087,932",,"1,225,728",,"1,225,728",
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",DR,PT,340,337,,269,,606,,"15,880,688",,"13,683,433",,0,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,PT,182,395,,260,,655,,"7,954,688",,"6,782,440",,0,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,DO,"1,779","5,104",,"3,771",,"8,875",,"97,007,454",,"74,356,213",,0,,0,
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",YR,PT,16,181,,11,,192,,"1,183,194",,"1,156,597",,"1,006,454",,"1,006,454",
New Jersey Transit Corporation,Newark,NJ,20080,Publicly-Owned or Privately Chartered Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,DO,15,103,,38,,141,,"534,194",,"520,531",,"534,194",,"520,531",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",HR,DO,998,298,,3,,301,,"54,844,116",,"53,126,512",,"6,960,941",,"6,740,984",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Public Agency or Authority of Transit Service,Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",DR,PT,662,0,,0,,0,,"22,880,247",,"19,251,997",,0,,0,
