"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2023","2305","Anchorage, AK","249252","61","AR","Alaska Railroad","DO","61","0",,"0",,"0",,"1214515",,"1203718",,"194150",,"192461",
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","64135","Norwich--New London, CT","167432","26","DR","Demand Response","PT","4","1",,"0",,"1",,"93674",,"69057","Q","0",,"0",
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","64135","Norwich--New London, CT","167432","26","MB","Bus","DO","17","90",,"349",,"439",,"1090717",,"1033940",,"0",,"0",
"Southeast Area Transit District","Preston","CT","10040","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","64135","Norwich--New London, CT","167432","26","DR","Demand Response","DO","5","8",,"12",,"20",,"209125",,"144501","Q","0",,"0",
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","DR","Demand Response","PT","2","0",,"1",,"1",,"15010",,"13100",,"0",,"0",
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","143","MB","Bus","DO","124","449",,"363",,"812",,"4393263",,"3860997",,"0",,"0",
"Arlington County, Virginia, dba: Arlington Transit","Arlington","VA","30080","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","77","DR","Demand Response","PT","12","0",,"10",,"10",,"235733",,"176694",,"0",,"0",
"Arlington County, Virginia, dba: Arlington Transit","Arlington","VA","30080","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","77","MB","Bus","PT","50","167",,"114",,"281",,"2080607",,"1872570",,"0",,"0",
"Hill Country Transit District, dba: The Hop","Belton","TX","60091","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44992","Killeen, TX","257222","67","DR","Demand Response","DO","57","104",,"25",,"129",,"964721",,"714053",,"0",,"0",
"Hill Country Transit District, dba: The Hop","Belton","TX","60091","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","44992","Killeen, TX","257222","67","MB","Bus","DO","10","100",,"16",,"116",,"523730",,"444717",,"0",,"0",
"Butler County Regional Transit Authority, dba: BCRTA","Hamilton","OH","50157","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","35","DR","Demand Response","DO","19","0",,"0",,"0",,"600859",,"504852",,"0",,"0",
"Butler County Regional Transit Authority, dba: BCRTA","Hamilton","OH","50157","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","35","MB","Bus","DO","16","2",,"0",,"2",,"539016",,"527587",,"0",,"0",
"City of Galveston , dba: Galveston Island Transit","Galveston","TX","60015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","32491","Galveston--Texas City, TX","191863","13","MB","Bus","DO","6","12",,"18",,"30",,"237154",,"227176",,"0",,"0",
"City of Galveston , dba: Galveston Island Transit","Galveston","TX","60015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","32491","Galveston--Texas City, TX","191863","13","SR","Streetcar Rail","DO","2","8",,"25",,"33",,"5964",,"5572",,"5964",,"5572",
"Rockland Coaches, Inc.","Paramus","NJ","20149","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","33","CB","Commuter Bus","DO","33","0",,"13",,"13",,"1648205",,"900320",,"0",,"0",
"Prince George's County, Maryland, dba: Prince George's County Transit/TheBus","Upper Marlboro","MD","30085","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","96","DR","Demand Response","DO","28","2",,"3",,"5",,"414601",,"309368",,"0",,"0",
"Prince George's County, Maryland, dba: Prince George's County Transit/TheBus","Upper Marlboro","MD","30085","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","96","MB","Bus","PT","68","316",,"173",,"489",,"3345818",,"2936362",,"0",,"0",
"Private Transportation Corporation","Brooklyn","NY","20175","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","6","MB","Bus","PT","6","5",,"14",,"19",,"112271",,"104859",,"0",,"0",
"Ames Transit Agency, dba: CyRide","Ames","IA","70041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","2062","Ames, IA","66342","54","MB","Bus","DO","54","50",,"471",,"521",,"1332254",,"1268158",,"0",,"0",
"Licking County, Ohio, dba: Licking County Transit","Newark","OH","50163","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","61705","Newark, OH","81223","20","DR","Demand Response","DO","18","9",,"2",,"11",,"957226",,"767160",,"0",,"0",
"Licking County, Ohio, dba: Licking County Transit","Newark","OH","50163","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","61705","Newark, OH","81223","20","MB","Bus","DO","2","1",,"0",,"1",,"29258","W","28095","W","0",,"0",
"Greene County Transit Board, dba: Greene CATS Public Transit","Xenia","OH","50165","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22528","Dayton, OH","674046","19","DR","Demand Response","PT","19","12",,"1",,"13",,"799397",,"696741",,"0",,"0",
"Clermont County, Ohio, dba: Clermont Transportation Connection","Batavia","OH","50166","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","33","DR","Demand Response","DO","11","5",,"4",,"9",,"200772","Q","129393",,"0",,"0",
"Clermont County, Ohio, dba: Clermont Transportation Connection","Batavia","OH","50166","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","33","DR","Demand Response","PT","16","1",,"5",,"6",,"443415",,"361706",,"0",,"0",
"Clermont County, Ohio, dba: Clermont Transportation Connection","Batavia","OH","50166","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","16885","Cincinnati, OH--KY","1686744","33","MB","Bus","DO","6","1",,"2",,"3",,"218124",,"122977",,"0",,"0",
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","93862","Wenatchee, WA","78142","61","DR","Demand Response","DO","22","2",,"15",,"17",,"504479",,"440954",,"0",,"0",
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","93862","Wenatchee, WA","78142","61","DR","Demand Response","PT","1","0",,"7",,"7",,"10371",,"5683",,"0",,"0",
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","93862","Wenatchee, WA","78142","61","MB","Bus","DO","27","43",,"68",,"111",,"2125150",,"2038942",,"0",,"0",
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","93862","Wenatchee, WA","78142","61","VP","Vanpool","DO","11","0",,"1",,"1",,"158808",,"158808",,"0",,"0",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60490","Mount Vernon, WA","66825","73","DR","Demand Response","DO","21","5",,"4",,"9",,"510512",,"435782",,"0",,"0",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60490","Mount Vernon, WA","66825","73","MB","Bus","DO","16","30",,"19",,"49",,"951329",,"887155",,"0",,"0",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60490","Mount Vernon, WA","66825","73","VP","Vanpool","DO","30","1",,"4",,"5",,"635415",,"635415",,"0",,"0",
"Skagit Transit","Burlington","WA","00044","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","60490","Mount Vernon, WA","66825","73","CB","Commuter Bus","DO","6","5",,"3",,"8",,"620506",,"586732",,"0",,"0",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","71","DR","Demand Response","PT","15","0",,"0",,"0",,"331281",,"256125",,"0",,"0",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","71","MB","Bus","PT","35","166",,"38",,"204",,"2002605",,"1817058",,"0",,"0",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","3817","Atlanta, GA","5100112","71","CB","Commuter Bus","PT","21","75",,"19",,"94",,"1083615",,"548430",,"0",,"0",
"Adirondack Transit Lines, Inc., dba: Adirondack Trailways","Hurley","NY","20177","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","13","CB","Commuter Bus","DO","13","49",,"13",,"62",,"1460310",,"1373763",,"0",,"0",
"Ulster County , dba: Ulster County Area Transit","Kingston","NY","20178","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71803","Poughkeepsie--Newburgh, NY","314766","32","DR","Demand Response","DO","6","5",,"1",,"6",,"138100",,"112757",,"0",,"0",
"Ulster County , dba: Ulster County Area Transit","Kingston","NY","20178","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71803","Poughkeepsie--Newburgh, NY","314766","32","MB","Bus","DO","26","62",,"83",,"145",,"1038240",,"1024306",,"0",,"0",
"County of Fayette, dba: Fayette Area Coordinated Transportation","Uniontown","PA","30087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","42","Pennsylvania Non-UZA","4196634","27","DR","Demand Response","DO","19","6",,"3",,"9",,"869597",,"729389",,"0",,"0",
"County of Fayette, dba: Fayette Area Coordinated Transportation","Uniontown","PA","30087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","42","Pennsylvania Non-UZA","4196634","27","MB","Bus","DO","8","4",,"2",,"6",,"485550",,"457901",,"0",,"0",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71317","Portland, OR--WA","2104238","18","DR","Demand Response","DO","5","8",,"2",,"10",,"53248",,"41549",,"0",,"0",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71317","Portland, OR--WA","2104238","18","MB","Bus","DO","12","11",,"3",,"14",,"504519",,"483814",,"0",,"0",
"City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","00046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","71317","Portland, OR--WA","2104238","18","VP","Vanpool","PT","1","0",,"0",,"0",,"8426",,"8426",,"0",,"0",
"County Commissioners of Charles County, MD, dba: PGM VanGO","La Plata","MD","30088","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","91261","Waldorf, MD","118601","32","DR","Demand Response","PT","16","1",,"4",,"5",,"507351",,"445192",,"0",,"0",
"County Commissioners of Charles County, MD, dba: PGM VanGO","La Plata","MD","30088","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","91261","Waldorf, MD","118601","32","MB","Bus","PT","16","14",,"33",,"47",,"1366001",,"1304011",,"0",,"0",
"Miami County, Ohio , dba: Miami County Public Transit","Troy","OH","50169","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","22528","Dayton, OH","674046","18","DR","Demand Response","PT","18","1",,"2",,"3",,"507673",,"447916",,"0",,"0",
"City of Loveland, Colorado, dba: City of Loveland Transit","Loveland","CO","80025","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","30628","Fort Collins, CO","326332","9","MB","Bus","DO","6","8",,"59",,"67",,"354097",,"347828",,"0",,"0",
"Town of Blacksburg, dba: Blacksburg Transit","Blacksburg","VA","30091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","8002","Blacksburg--Christiansburg, VA","72400","34","DR","Demand Response","DO","8","29",,"19",,"48",,"173579",,"146095",,"0",,"0",
"Town of Blacksburg, dba: Blacksburg Transit","Blacksburg","VA","30091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","8002","Blacksburg--Christiansburg, VA","72400","34","MB","Bus","DO","26","351",,"171",,"522",,"884056",,"824083",,"0",,"0",
"Collier County, dba: Collier Area Transit","Naples","FL","40140","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","8974","Bonita Springs--Estero, FL","425675","49","DR","Demand Response","PT","30","9",,"0",,"9",,"1595071",,"1306794",,"0",,"0",
"Collier County, dba: Collier Area Transit","Naples","FL","40140","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","8974","Bonita Springs--Estero, FL","425675","49","MB","Bus","PT","19","48",,"22",,"70",,"1476203",,"1366218",,"0",,"0",
"Golden Crescent Regional Planning Commission, dba: Victoria Transit","Victoria","TX","60095","MPO, COG or Other Planning Agency","Full Reporter","2023","90514","Victoria, TX","65986","64","DR","Demand Response","DO","16","2",,"5",,"7",,"369805",,"320541","Q","0",,"0",
"Golden Crescent Regional Planning Commission, dba: Victoria Transit","Victoria","TX","60095","MPO, COG or Other Planning Agency","Full Reporter","2023","90514","Victoria, TX","65986","64","MB","Bus","DO","7","9",,"15",,"24",,"335045",,"324796",,"0",,"0",
"Golden Crescent Regional Planning Commission, dba: Victoria Transit","Victoria","TX","60095","MPO, COG or Other Planning Agency","Full Reporter","2023","90514","Victoria, TX","65986","64","CB","Commuter Bus","DO","8","8",,"5",,"13",,"415438",,"363423",,"0",,"0",
