NTD ID,Mode,Type of Service,Agency,City,State,Legacy NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode VOMS,Major Mechanical Failures,Major Mechanical Failures Questionable,Other Mechanical Failures,Other Mechanical Failures Questionable,Total Mechanical Failures,Total Mechanical Failures Questionable,Vehicle/Passenger Car Miles,Vehicle/Passenger Car Miles Questionable,Vehicle/Passenger Car Revenue Miles,Vehicle/Passenger Car Revenue Miles Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable,Any Data Questionable?,Mean Miles Between Breakdowns,Rank,"Rank, 10 Biggest"
10115,CR,PT,Northern New England Passenger Rail Authority,Portland,ME,1115,Independent Public Agency or Authority of Transit Service,Full Reporter,203914,21,21,1,NA,0,NA,1,NA,2119015,NA,2105053,NA,423803,NA,421011,NA,No,2105053,1,NA
30057,CR,PT,Pennsylvania Department of Transportation,Harrisburg,PA,3057,State Government Unit or Department of Transportation,Full Reporter,5441567,20,20,1,NA,0,NA,1,NA,1619575,NA,1619575,NA,323915,NA,323915,NA,No,1619575,2,NA
20078,CR,DO,MTA Metro-North Railroad,New York,NY,2078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,1139,1128,57,NA,0,NA,57,NA,56794528,NA,51909106,NA,7531786,NA,6811492,NA,No,910686.0701754387,3,1
50104,CR,DO,Northern Indiana Commuter Transportation District,Chesterton,IN,5104,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,70,70,5,NA,0,NA,5,NA,3893595,NA,3821360,NA,761624,NA,748284,NA,No,764272,4,NA
20100,CR,DO,MTA Long Island Rail Road,Jamaica,NY,2100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,18351295,882,882,76,NA,2,NA,78,NA,66399075,NA,58398960,NA,7369369,NA,6792718,NA,No,748704.6153846154,5,2
50118,CR,DO,Metra,Chicago,IL,5118,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,818,422,30,NA,0,NA,30,NA,16287629,NA,16105095,NA,2617502,NA,2591991,NA,No,536836.5,6,3
60007,CR,PT,Trinity Metro,Fort Worth,TX,6007,Independent Public Agency or Authority of Transit Service,Full Reporter,5121892,295,20,0,NA,5,NA,5,NA,2479493,NA,2444809,NA,619873,NA,611202,NA,No,488961.8,7,NA
50118,CR,PT,Metra,Chicago,IL,5118,Independent Public Agency or Authority of Transit Service,Full Reporter,8608208,818,396,35,NA,0,NA,35,NA,17360994,NA,16733181,NA,2511062,NA,2416436,NA,No,478090.8857142857,8,4
90134,CR,PT,Caltrain,San Carlos,CA,9134,Independent Public Agency or Authority of Transit Service,Full Reporter,3281212,96,96,20,NA,5,NA,25,NA,5775711,NA,5599760,NA,1062059,NA,1029122,NA,No,223990.4,9,5
90030,CR,PT,North County Transit District,Oceanside,CA,9030,Independent Public Agency or Authority of Transit Service,Full Reporter,2956746,183,24,4,NA,0,NA,4,NA,835285,NA,782995,NA,155689,NA,145927,NA,No,195748.75,10,NA
