mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_revenue_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
CR,1,,Virginia Railway Express,30073,Alexandria,VA,PT,1206725.5,2413451,2,2,NA
CR,2,1,MTA Metro-North Railroad,20078,New York,NY,DO,1175264.2641509434,62289006,53,3,1
CR,3,2,Metra,50118,Chicago,IL,PT,380823.7,22849422,60,7,4
CR,4,,South Shore Line,50104,Chesterton,IN,DO,338714.6666666667,2032288,6,4,NA
CR,5,3,Metra,50118,Chicago,IL,DO,333024.68852459016,20314506,61,6,3
CR,6,4,MTA Long Island Rail Road,20100,New York,NY,DO,327053.3461538461,76530483,234,5,2
CR,7,,Trinity Metro,60007,Fort Worth,TX,PT,247255.6,2472556,10,8,NA
CR,8,,Pennsylvania Department of Transportation,30057,Harrisburg,PA,PT,235586.0,2120274,9,10,NA
CR,9,5,Caltrain,90134,San Carlos,CA,PT,170015.7,6800628,40,12,5
CR,10,,Altamont Corridor Express,90182,Stockton,CA,PT,164755.0,988530,6,9,NA
CR,11,,Connecticut Department of Transportation,10102,Newington,CT,PT,134938.0909090909,1484319,11,28,NA
CR,12,,North County Transit District,90030,Oceanside,CA,DO,127574.30769230769,1658466,13,,
CR,13,6,New Jersey Transit Corporation,20080,Newark,NJ,DO,127149.98717948717,59506194,468,13,6
CR,14,7,Metrolink,90151,Los Angeles,CA,PT,103575.33644859813,11082561,107,15,7
CR,15,,Sound Transit,00040,Seattle,WA,PT,103122.875,1649966,16,17,NA
CR,16,,Metro Transit,50027,Minneapolis,MN,PT,100231.5,200463,2,11,NA
CR,17,8,Massachusetts Bay Transportation Authority,10003,Boston,MA,PT,90904.98084291187,23726200,261,18,8
CR,18,,Utah Transit Authority,80001,Salt Lake City,UT,DO,74015.07692307692,3848784,52,16,NA
CR,19,9,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,DO,72673.38961038961,16787553,231,23,10
CR,20,10,RTD-Denver,80006,Denver,CO,PT,55981.55445544554,5654137,101,25,NA
CR,21,11,MTA,30034,Baltimore,MD,PT,50860.256,6357532,125,21,9
CR,22,,Dallas Area Rapid Transit,60056,Dallas,TX,PT,42687.107142857145,1195239,28,22,NA
CR,23,,Tri-Rail,40077,Pompano Beach,FL,PT,32670.916666666668,3528459,108,27,NA
CR,24,,RTD-Denver,80006,Denver,CO,DO,10534.283582089553,705797,67,24,NA
HR,1,1,Washington Metro,30030,Washington,DC,DO,199638.15977961433,72468652,363,1,1
HR,2,2,SF BART,90003,Oakland,CA,DO,136901.6732026144,83783824,612,2,2
HR,3,3,Metro,90154,Los Angeles,CA,DO,85718.22535211267,6085994,71,5,4
HR,4,, MTA Staten Island Railway,20099,Staten Island,NY,DO,63510.1,2540404,40,4,NA
HR,5,4,Port Authority Trans-Hudson Corporation,20098,New York,NY,DO,52958.12987012987,12233328,231,6,5
HR,6,5,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,DO,39255.002610966054,15034666,383,3,3
HR,7,6,Metropolitan Atlanta Rapid Transit Authority,40022,Atlanta,GA,DO,18622.068393782385,17970296,965,8,7
HR,8,7,Port Authority Transit Corporation,20075,Camden,NJ,DO,17786.4016064257,4428814,249,10,NA
HR,9,8,MTA New York City Transit,20008,Brooklyn,NY,DO,16418.995033428844,343813756,20940,9,8
HR,10,,The Greater Cleveland Regional Transit Authority,50015,Cleveland,OH,DO,10011.286956521739,2302596,230,13,NA
HR,11,9,Chicago Transit Authority,50066,Chicago,IL,DO,7325.772014051522,62562093,8540,11,9
HR,12,10,MTA,30034,Baltimore,MD,DO,5737.353300733496,4693155,818,12,NA
HR,13,,Autoridad de Transporte Integrado,40094,San Juan,PR,PT,3590.0929791271346,1891979,527,14,NA
HR,14,11,County of Miami-Dade,40034,Miami,FL,DO,2752.178191489362,7243733,2632,15,10
HR,15,,City and County of Honolulu,90002,Honolulu,HI,PT,2558.0,2558,1,,
LR,1,1,Dallas Area Rapid Transit,60056,Dallas,TX,DO,176228.7931034483,10221270,58,3,3
LR,2,2,Metro,90154,Los Angeles,CA,DO,40160.23351648352,14618325,364,1,1
LR,3,3,Sound Transit,00040,Seattle,WA,DO,33546.80487804878,8252514,246,4,4
LR,4,4,TriMet,00008,Portland,OR,DO,33353.50833333333,8004842,240,2,2
LR,5,5,RTD-Denver,80006,Denver,CO,DO,17542.25786163522,8367657,477,9,9
LR,6,6,(St. Louis) Metro,70006,Saint Louis,MO,DO,16505.425605536333,4770068,289,5,5
LR,7,7,Utah Transit Authority,80001,Salt Lake City,UT,DO,16266.35064935065,6262545,385,8,8
LR,8,8,San Diego Metropolitan Transit System,90026,San Diego,CA,DO,15101.730083234244,12700555,841,7,7
LR,9,,New Jersey Transit Corporation,20080,Newark,NJ,PT,12083.50847457627,2138781,177,15,NA
LR,10,,NFTA - Metro Bus & Rail,20004,Buffalo,NY,DO,11408.181818181818,752940,66,10,NA
LR,11,,METRO,60008,Houston,TX,DO,10440.397993311037,3121679,299,14,NA
LR,12,,The Greater Cleveland Regional Transit Authority,50015,Cleveland,OH,DO,8986.490566037735,476284,53,22,NA
